filename,replication_factor,consistency,num_keys,threads,total_errors,consistency_passed,violations
fuzz_rf1_linearizable_keys100_threads1.log,1,linearizable,100,1,0,True,0
fuzz_rf1_linearizable_keys100_threads128.log,1,linearizable,100,128,0,True,0
fuzz_rf1_linearizable_keys100_threads16.log,1,linearizable,100,16,0,True,0
fuzz_rf1_linearizable_keys100_threads2.log,1,linearizable,100,2,0,True,0
fuzz_rf1_linearizable_keys100_threads256.log,1,linearizable,100,256,0,True,0
fuzz_rf1_linearizable_keys100_threads32.log,1,linearizable,100,32,0,True,0
fuzz_rf1_linearizable_keys100_threads4.log,1,linearizable,100,4,0,True,0
fuzz_rf1_linearizable_keys100_threads64.log,1,linearizable,100,64,0,True,0
fuzz_rf1_linearizable_keys100_threads8.log,1,linearizable,100,8,0,True,0
fuzz_rf1_linearizable_keys140_threads1.log,1,linearizable,140,1,0,True,0
fuzz_rf1_linearizable_keys140_threads128.log,1,linearizable,140,128,0,True,0
fuzz_rf1_linearizable_keys140_threads16.log,1,linearizable,140,16,0,True,0
fuzz_rf1_linearizable_keys140_threads2.log,1,linearizable,140,2,0,True,0
fuzz_rf1_linearizable_keys140_threads256.log,1,linearizable,140,256,0,True,0
fuzz_rf1_linearizable_keys140_threads32.log,1,linearizable,140,32,0,True,0
fuzz_rf1_linearizable_keys140_threads4.log,1,linearizable,140,4,0,True,0
fuzz_rf1_linearizable_keys140_threads64.log,1,linearizable,140,64,0,True,0
fuzz_rf1_linearizable_keys140_threads8.log,1,linearizable,140,8,0,True,0
fuzz_rf1_linearizable_keys20_threads1.log,1,linearizable,20,1,0,True,0
fuzz_rf1_linearizable_keys20_threads128.log,1,linearizable,20,128,0,True,0
fuzz_rf1_linearizable_keys20_threads16.log,1,linearizable,20,16,0,True,0
fuzz_rf1_linearizable_keys20_threads2.log,1,linearizable,20,2,0,True,0
fuzz_rf1_linearizable_keys20_threads256.log,1,linearizable,20,256,0,True,0
fuzz_rf1_linearizable_keys20_threads32.log,1,linearizable,20,32,0,True,0
fuzz_rf1_linearizable_keys20_threads4.log,1,linearizable,20,4,0,True,0
fuzz_rf1_linearizable_keys20_threads64.log,1,linearizable,20,64,0,True,0
fuzz_rf1_linearizable_keys20_threads8.log,1,linearizable,20,8,0,True,0
fuzz_rf1_linearizable_keys60_threads1.log,1,linearizable,60,1,0,True,0
fuzz_rf1_linearizable_keys60_threads128.log,1,linearizable,60,128,0,True,0
fuzz_rf1_linearizable_keys60_threads16.log,1,linearizable,60,16,0,True,0
fuzz_rf1_linearizable_keys60_threads2.log,1,linearizable,60,2,0,True,0
fuzz_rf1_linearizable_keys60_threads256.log,1,linearizable,60,256,0,True,0
fuzz_rf1_linearizable_keys60_threads32.log,1,linearizable,60,32,0,True,0
fuzz_rf1_linearizable_keys60_threads4.log,1,linearizable,60,4,0,True,0
fuzz_rf1_linearizable_keys60_threads64.log,1,linearizable,60,64,0,True,0
fuzz_rf1_linearizable_keys60_threads8.log,1,linearizable,60,8,0,True,0
fuzz_rf1_none_keys100_threads1.log,1,none,100,1,0,True,0
fuzz_rf1_none_keys100_threads128.log,1,none,100,128,0,True,0
fuzz_rf1_none_keys100_threads16.log,1,none,100,16,0,True,0
fuzz_rf1_none_keys100_threads2.log,1,none,100,2,0,True,0
fuzz_rf1_none_keys100_threads256.log,1,none,100,256,0,True,0
fuzz_rf1_none_keys100_threads32.log,1,none,100,32,0,True,0
fuzz_rf1_none_keys100_threads4.log,1,none,100,4,0,True,0
fuzz_rf1_none_keys100_threads64.log,1,none,100,64,0,True,0
fuzz_rf1_none_keys100_threads8.log,1,none,100,8,0,True,0
fuzz_rf1_none_keys140_threads1.log,1,none,140,1,0,True,0
fuzz_rf1_none_keys140_threads128.log,1,none,140,128,0,True,0
fuzz_rf1_none_keys140_threads16.log,1,none,140,16,0,True,0
fuzz_rf1_none_keys140_threads2.log,1,none,140,2,0,True,0
fuzz_rf1_none_keys140_threads256.log,1,none,140,256,0,True,0
fuzz_rf1_none_keys140_threads32.log,1,none,140,32,0,True,0
fuzz_rf1_none_keys140_threads4.log,1,none,140,4,0,True,0
fuzz_rf1_none_keys140_threads64.log,1,none,140,64,0,True,0
fuzz_rf1_none_keys140_threads8.log,1,none,140,8,0,True,0
fuzz_rf1_none_keys20_threads1.log,1,none,20,1,0,True,0
fuzz_rf1_none_keys20_threads128.log,1,none,20,128,0,True,0
fuzz_rf1_none_keys20_threads16.log,1,none,20,16,0,True,0
fuzz_rf1_none_keys20_threads2.log,1,none,20,2,0,True,0
fuzz_rf1_none_keys20_threads256.log,1,none,20,256,0,True,0
fuzz_rf1_none_keys20_threads32.log,1,none,20,32,0,True,0
fuzz_rf1_none_keys20_threads4.log,1,none,20,4,0,True,0
fuzz_rf1_none_keys20_threads64.log,1,none,20,64,0,True,0
fuzz_rf1_none_keys20_threads8.log,1,none,20,8,0,True,0
fuzz_rf1_none_keys60_threads1.log,1,none,60,1,0,True,0
fuzz_rf1_none_keys60_threads128.log,1,none,60,128,0,True,0
fuzz_rf1_none_keys60_threads16.log,1,none,60,16,0,True,0
fuzz_rf1_none_keys60_threads2.log,1,none,60,2,0,True,0
fuzz_rf1_none_keys60_threads256.log,1,none,60,256,0,True,0
fuzz_rf1_none_keys60_threads32.log,1,none,60,32,0,True,0
fuzz_rf1_none_keys60_threads4.log,1,none,60,4,0,True,0
fuzz_rf1_none_keys60_threads64.log,1,none,60,64,0,True,0
fuzz_rf1_none_keys60_threads8.log,1,none,60,8,0,True,0
fuzz_rf1_strong_keys100_threads1.log,1,strong,100,1,0,True,0
fuzz_rf1_strong_keys100_threads128.log,1,strong,100,128,0,True,0
fuzz_rf1_strong_keys100_threads16.log,1,strong,100,16,0,True,0
fuzz_rf1_strong_keys100_threads2.log,1,strong,100,2,0,True,0
fuzz_rf1_strong_keys100_threads256.log,1,strong,100,256,0,True,0
fuzz_rf1_strong_keys100_threads32.log,1,strong,100,32,0,True,0
fuzz_rf1_strong_keys100_threads4.log,1,strong,100,4,0,True,0
fuzz_rf1_strong_keys100_threads64.log,1,strong,100,64,0,True,0
fuzz_rf1_strong_keys100_threads8.log,1,strong,100,8,0,True,0
fuzz_rf1_strong_keys140_threads1.log,1,strong,140,1,0,True,0
fuzz_rf1_strong_keys140_threads128.log,1,strong,140,128,0,True,0
fuzz_rf1_strong_keys140_threads16.log,1,strong,140,16,0,True,0
