filename,replication_factor,consistency,workload,threads,overall_runtime_ms,overall_throughput_ops_sec,read_operations,read_averagelatency_us,read_minlatency_us,read_maxlatency_us,read_95thpercentilelatency_us,read_99thpercentilelatency_us,update_operations,update_averagelatency_us,update_minlatency_us,update_maxlatency_us,update_95thpercentilelatency_us,update_99thpercentilelatency_us,cleanup_operations,cleanup_averagelatency_us,cleanup_minlatency_us,cleanup_maxlatency_us,cleanup_95thpercentilelatency_us,cleanup_99thpercentilelatency_us,insert_operations,insert_averagelatency_us,insert_minlatency_us,insert_maxlatency_us,insert_95thpercentilelatency_us,insert_99thpercentilelatency_us,scan_operations,scan_averagelatency_us,scan_minlatency_us,scan_maxlatency_us,scan_95thpercentilelatency_us,scan_99thpercentilelatency_us,read_modify_write_operations,read_modify_write_averagelatency_us,read_modify_write_minlatency_us,read_modify_write_maxlatency_us,read_modify_write_95thpercentilelatency_us,read_modify_write_99thpercentilelatency_us
ycsb_rf1_linearizable_workloada_threads1.log,1,linearizable,a,1,842.0,1187.648456057007,512.0,612.646484375,282.0,63263.0,829.0,1467.0,488.0,605.5122950819672,389.0,3269.0,1085.0,1544.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads128.log,1,linearizable,a,128,1000.0,1000.0,501.0,67569.91017964072,477.0,361471.0,346879.0,357631.0,499.0,56915.10420841684,567.0,363775.0,340223.0,356095.0,128.0,0.0390625,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads16.log,1,linearizable,a,16,608.0,1644.7368421052631,489.0,4810.862985685071,443.0,194559.0,9655.0,188671.0,511.0,5757.164383561644,576.0,194047.0,8863.0,189567.0,16.0,0.0625,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads2.log,1,linearizable,a,2,646.0,1547.9876160990711,497.0,756.3058350100604,318.0,77631.0,1378.0,1973.0,503.0,836.3737574552684,398.0,77567.0,1234.0,1929.0,2.0,2.0,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads256.log,1,linearizable,a,256,1345.0,743.4944237918215,509.0,176859.70530451866,771.0,604159.0,588287.0,599551.0,491.0,157047.29531568228,737.0,600063.0,579583.0,591871.0,256.0,0.015625,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads32.log,1,linearizable,a,32,699.0,1430.615164520744,507.0,13867.459566074951,443.0,208511.0,54047.0,205823.0,493.0,8188.139959432048,545.0,206335.0,15095.0,200959.0,32.0,0.03125,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads4.log,1,linearizable,a,4,597.0,1675.0418760469013,535.0,1261.8280373831776,323.0,87807.0,1846.0,4099.0,465.0,1524.9720430107527,395.0,86335.0,1740.0,4559.0,4.0,0.5,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads64.log,1,linearizable,a,64,780.0,1282.051282051282,489.0,25931.451942740285,544.0,255999.0,236543.0,254079.0,511.0,22233.530332681017,593.0,252159.0,237695.0,248191.0,64.0,0.015625,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloada_threads8.log,1,linearizable,a,8,539.0,1855.287569573284,516.0,1457.7848837209303,396.0,126015.0,2389.0,6763.0,484.0,3104.5826446280994,489.0,127807.0,2971.0,125887.0,8.0,0.875,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadb_threads1.log,1,linearizable,b,1,785.0,1273.8853503184714,944.0,544.7595338983051,274.0,63423.0,901.0,1627.0,56.0,647.2321428571429,436.0,2133.0,887.0,936.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
